date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2024-04-26,0.0063,0.0063,0.0063,563
2024-04-27,0.0063,0.0062,0.0062,23564
2024-04-28,0.0062,0.0063,0.0063,10609
2024-04-29,0.0063,0.0063,0.0063,19131
2024-04-30,0.0063,0.0061,0.0061,23251
2024-05-01,0.0061,0.0061,0.0061,18174
2024-05-02,0.0061,0.0065,0.0065,14384
2024-05-03,0.0065,0.0066,0.0066,11890
2024-05-04,0.0066,0.0065,0.0065,16528
2024-05-05,0.0065,0.0065,0.0065,15926
2024-05-06,0.0065,0.0069,0.0069,14626
2024-05-07,0.0069,0.0151,0.0151,266191
2024-05-08,0.0151,0.0093,0.0093,64697
2024-05-09,0.0093,0.009,0.009,20874
2024-05-10,0.009,0.0092,0.0092,19037
2024-05-11,0.0091,0.0089,0.0089,17697
2024-05-12,0.0089,0.0107,0.0107,22898
2024-05-13,0.0107,0.0136,0.0136,175920
2024-05-14,0.0136,0.0125,0.0125,138584
2024-05-15,0.0125,0.0113,0.0113,23063
2024-05-16,0.0113,0.012,0.012,12850
2024-05-17,0.012,0.0137,0.0137,33613
2024-05-18,0.0137,0.0131,0.0131,21606
2024-05-19,0.0131,0.0127,0.0127,18962
2024-05-20,0.0127,0.0122,0.0122,5478
2024-05-21,0.0122,0.012,0.012,17736
2024-05-22,0.012,0.0119,0.0119,18516
2024-05-23,0.0119,0.0172,0.0172,24307
2024-05-24,0.0172,0.0123,0.0123,119670
2024-05-25,0.0123,0.0131,0.0131,20590
2024-05-26,0.0131,0.0135,0.0135,13301
2024-05-27,0.0135,0.0123,0.0123,18280
2024-05-28,0.0123,0.0121,0.0121,21770
2024-05-29,0.0121,0.0118,0.0118,21349
2024-05-30,0.0118,0.012,0.012,22895
2024-05-31,0.012,0.0114,0.0114,22876
2024-06-01,0.0114,0.0115,0.0115,23100
2024-06-02,0.0115,0.0129,0.0129,17736
2024-06-03,0.0129,0.0125,0.0125,14207
2024-06-04,0.0125,0.0128,0.0128,4883
2024-06-05,0.0128,0.0123,0.0123,9604
2024-06-06,0.0123,0.0122,0.0122,9257
2024-06-07,0.0122,0.0115,0.0115,7498
2024-06-08,0.0115,0.0117,0.0117,17927
2024-06-09,0.0117,0.0114,0.0114,8691
2024-06-10,0.0114,0.0108,0.0108,17337
2024-06-11,0.0108,0.0101,0.0101,20180
2024-06-12,0.0101,0.0099,0.0099,18329
2024-06-13,0.0099,0.0097,0.0097,15913
2024-06-14,0.0097,0.0094,0.0094,24040
2024-06-15,0.0094,0.0091,0.0091,24371
2024-06-16,0.0091,0.0091,0.0091,19340
2024-06-17,0.0091,0.0091,0.0091,11029
2024-06-18,0.0091,0.0076,0.0076,10242
2024-06-19,0.0076,0.0076,0.0076,8834
2024-06-20,0.0076,0.0075,0.0075,12489
2024-06-21,0.0075,0.0073,0.0073,5796
2024-06-22,0.0073,0.0073,0.0073,21152
2024-06-23,0.0073,0.0082,0.0082,19423
2024-06-24,0.0082,0.0086,0.0086,5035
2024-06-25,0.0086,0.0082,0.0082,7495
2024-06-26,0.0082,0.0077,0.0077,21904
2024-06-27,0.0077,0.0076,0.0076,24631
2024-06-28,0.0076,0.0075,0.0075,6968
2024-06-29,0.0075,0.0073,0.0073,489
2024-06-30,0.0073,0.0076,0.0076,1694
2024-07-01,0.0076,0.0073,0.0073,14020
2024-07-02,0.0073,0.0069,0.0069,19812
2024-07-03,0.0069,0.0069,0.0069,24675
2024-07-04,0.0069,0.0068,0.0068,13708
2024-07-05,0.0068,0.0067,0.0067,13705
2024-07-06,0.0067,0.0074,0.0074,39050
2024-07-07,0.0074,0.0062,0.0062,3586
2024-07-08,0.0062,0.0063,0.0063,1436
2024-07-09,0.0063,0.0069,0.0069,859
2024-07-10,0.0069,0.0062,0.0062,3626
2024-07-11,0.0062,0.0066,0.0066,4007
2024-07-12,0.0066,0.0069,0.0069,1869
2024-07-13,0.0069,0.0071,0.0071,18356
2024-07-14,0.0071,0.0077,0.0077,953
2024-07-15,0.0077,0.007,0.007,5671
2024-07-16,0.007,0.0071,0.0071,10373
2024-07-17,0.0071,0.007,0.007,11027
2024-07-18,0.007,0.007,0.007,11500
2024-07-19,0.007,0.0073,0.0073,11355
2024-07-20,0.0073,0.007,0.007,5194
2024-07-21,0.0069,0.0072,0.0072,5358
2024-07-22,0.0072,0.007,0.007,11079
2024-07-23,0.007,0.0069,0.0069,123
2024-07-24,0.0069,0.0071,0.0071,3437
2024-07-25,0.0071,0.0069,0.0069,2073
2024-07-26,0.0069,0.0068,0.0068,535
2024-07-27,0.0068,0.0068,0.0068,1840
2024-07-28,0.0068,0.0069,0.0069,888
2024-07-29,0.0069,0.0069,0.0069,0
2024-07-30,0.0069,0.0064,0.0064,441
2024-07-31,0.0064,0.0064,0.0064,2374
2024-08-01,0.0064,0.0065,0.0065,3180
2024-08-02,0.0065,0.0063,0.0063,109
2024-08-03,0.0063,0.0061,0.0061,222
2024-08-04,0.0061,0.006,0.006,50
2024-08-05,0.006,0.0053,0.0053,503
2024-08-06,0.0053,0.0054,0.0054,109
2024-08-07,0.0054,0.0056,0.0056,182
2024-08-08,0.0056,0.0056,0.0056,158
2024-08-09,0.0056,0.0054,0.0054,141
2024-08-10,0.0054,0.0051,0.0051,0
2024-08-11,0.0051,0.0054,0.0054,45
2024-08-12,0.0054,0.0052,0.0052,89
2024-08-13,0.0052,0.005,0.005,0
2024-08-14,0.005,0.0056,0.0056,14
2024-08-15,0.0056,0.0055,0.0055,104
2024-08-16,0.0055,0.0055,0.0055,83
2024-08-17,0.0055,0.0054,0.0054,114
2024-08-18,0.0054,0.0053,0.0053,20
2024-08-19,0.0053,0.0052,0.0052,8
2024-08-20,0.0052,0.0055,0.0055,42
2024-08-21,0.0055,0.0051,0.0051,87
2024-08-22,0.0051,0.0055,0.0055,0
2024-08-23,0.0055,0.005,0.005,120
2024-08-24,0.005,0.005,0.005,417
2024-08-25,0.005,0.005,0.005,15
2024-08-26,0.005,0.0049,0.0049,0
2024-08-27,0.0049,0.005,0.005,4
2024-08-28,0.005,0.0051,0.0051,69
2024-08-29,0.0051,0.005,0.005,144
2024-08-30,0.005,0.0051,0.0051,66
2024-08-31,0.0051,0.0051,0.0051,188
2024-09-01,0.0051,0.0052,0.0052,112
2024-09-02,0.0052,0.0051,0.0051,0
2024-09-03,0.0051,0.0052,0.0052,299
2024-09-04,0.0052,0.0052,0.0052,258
2024-09-05,0.0052,0.0052,0.0052,173
2024-09-06,0.0052,0.005,0.005,41
2024-09-07,0.005,0.005,0.005,32
2024-09-08,0.005,0.0049,0.0049,0
2024-09-09,0.0049,0.005,0.005,3
2024-09-10,0.005,0.0052,0.0052,1
2024-09-11,0.0052,0.0051,0.0051,0
2024-09-12,0.0051,0.0048,0.0048,165
2024-09-13,0.0048,0.0053,0.0053,296
2024-09-14,0.0053,0.0053,0.0053,1
2024-09-15,0.0053,0.0057,0.0057,463
2024-09-16,0.0057,0.0053,0.0053,0
2024-09-17,0.0053,0.0072,0.0072,26876
2024-09-18,0.0072,0.0059,0.0059,9157
2024-09-19,0.0059,0.0053,0.0053,890
2024-09-20,0.0053,0.0053,0.0053,365
2024-09-21,0.0053,0.0053,0.0053,222
2024-09-22,0.0053,0.0053,0.0053,59
2024-09-23,0.0053,0.0056,0.0056,83
2024-09-24,0.0056,0.0054,0.0054,234
2024-09-25,0.0054,0.0053,0.0053,201
2024-09-26,0.0053,0.0053,0.0053,185
2024-09-27,0.0053,0.0058,0.0058,195
2024-09-28,0.0058,0.0059,0.0059,127
2024-09-29,0.0059,0.0057,0.0057,307
2024-09-30,0.0057,0.0057,0.0057,0
2024-10-01,0.0057,0.0055,0.0055,63
2024-10-02,0.0055,0.0054,0.0054,13
2024-10-03,0.0054,0.0058,0.0058,105
2024-10-04,0.0058,0.0054,0.0054,232
2024-10-05,0.0054,0.006,0.006,157
2024-10-06,0.006,0.006,0.006,7
2024-10-07,0.006,0.0054,0.0054,108
2024-10-08,0.0054,0.0059,0.0059,29
2024-10-09,0.0059,0.0057,0.0057,15
2024-10-10,0.0057,0.006,0.006,0
2024-10-11,0.006,0.0056,0.0056,112
2024-10-12,0.0056,0.0056,0.0056,26
2024-10-13,0.0056,0.0057,0.0057,24
2024-10-14,0.0057,0.0056,0.0056,121
2024-10-15,0.0056,0.0058,0.0058,1039
2024-10-16,0.0058,0.0058,0.0058,190
2024-10-17,0.0058,0.0056,0.0056,475
2024-10-18,0.0056,0.0057,0.0057,280
2024-10-19,0.0057,0.0057,0.0057,381
2024-10-20,0.0057,0.0054,0.0054,171
2024-10-21,0.0054,0.0053,0.0053,296
2024-10-22,0.0053,0.0053,0.0053,65
2024-10-23,0.0053,0.0051,0.0051,432
2024-10-24,0.0051,0.0051,0.0051,89
2024-10-25,0.0051,0.0052,0.0052,193
2024-10-26,0.0052,0.0048,0.0048,91
2024-10-27,0.0048,0.0048,0.0048,77
2024-10-28,0.0048,0.0049,0.0049,98
2024-10-29,0.0049,0.0048,0.0048,107
2024-10-30,0.0048,0.0048,0.0048,31
2024-10-31,0.0048,0.0048,0.0048,381
2024-11-01,0.0048,0.0044,0.0044,1759
2024-11-02,0.0044,0.0045,0.0045,789
2024-11-03,0.0045,0.0045,0.0045,443
2024-11-04,0.0045,0.0043,0.0043,66
2024-11-05,0.0043,0.0041,0.0041,448
2024-11-06,0.0041,0.0042,0.0042,644
2024-11-07,0.0042,0.0039,0.0039,651
2024-11-08,0.0039,0.0042,0.0042,35
2024-11-09,0.0042,0.0039,0.0039,253
2024-11-10,0.0039,0.0041,0.0041,54
2024-11-11,0.0041,0.0042,0.0042,332
2024-11-12,0.0042,0.0039,0.0039,238
2024-11-13,0.0039,0.0042,0.0042,99
2024-11-14,0.0042,0.0042,0.0042,109
2024-11-15,0.0042,0.0042,0.0042,3
2024-11-16,0.0042,0.0042,0.0042,252
2024-11-17,0.0042,0.0042,0.0042,119
2024-11-18,0.0042,0.004,0.004,0
2024-11-19,0.004,0.0042,0.0042,45
2024-11-20,0.0042,0.0038,0.0038,180
2024-11-21,0.0038,0.0041,0.0041,200
2024-11-22,0.0041,0.0037,0.0037,319
2024-11-23,0.0037,0.0041,0.0041,212
2024-11-24,0.0041,0.0041,0.0041,1
2024-11-25,0.0041,0.0038,0.0038,0
2024-11-26,0.0038,0.0038,0.0038,0
2024-11-27,0.0038,0.004,0.004,4
2024-11-28,0.004,0.0041,0.0041,278
2024-11-29,0.0041,0.0043,0.0043,265
2024-11-30,0.0043,0.0042,0.0042,144
2024-12-01,0.0042,0.0043,0.0043,65
2024-12-02,0.0043,0.0042,0.0042,553
2024-12-03,0.0042,0.0043,0.0043,169
2024-12-04,0.0043,0.0043,0.0043,80
2024-12-05,0.0043,0.0047,0.0047,203
2024-12-06,0.0047,0.0047,0.0047,2
2024-12-07,0.0047,0.0048,0.0048,427
2024-12-08,0.0048,0.0048,0.0048,60
2024-12-09,0.0048,0.0044,0.0044,144
2024-12-10,0.0048,0.0042,0.0042,385
2024-12-11,0.0042,0.0041,0.0041,2
2024-12-12,0.0041,0.0041,0.0041,366
2024-12-13,0.0041,0.0043,0.0043,617
2024-12-14,0.0043,0.0041,0.0041,19
2024-12-15,0.0041,0.0043,0.0043,760
2024-12-16,0.0043,0.0042,0.0042,173
2024-12-17,0.0042,0.0042,0.0042,536
2024-12-18,0.0042,0.0042,0.0042,11
2024-12-19,0.0042,0.0035,0.0035,386
2024-12-20,0.0035,0.0038,0.0038,449
2024-12-21,0.0038,0.0035,0.0035,1965
2024-12-22,0.0035,0.0034,0.0034,43653
2024-12-23,0.0034,0.0035,0.0035,4137
2024-12-24,0.0035,0.0031,0.0031,248
2024-12-25,0.0031,0.0037,0.0037,446
2024-12-26,0.0037,0.0036,0.0036,1009
2024-12-27,0.0036,0.0036,0.0036,975
2024-12-28,0.0036,0.0033,0.0033,175
2024-12-29,0.0033,0.0032,0.0032,884
2024-12-30,0.0032,0.0031,0.0031,443
2024-12-31,0.0031,0.0036,0.0036,486
2025-01-01,0.0036,0.003,0.003,99
2025-01-02,0.003,0.0032,0.0032,353
2025-01-03,0.0032,0.0033,0.0033,856
2025-01-04,0.0033,0.0032,0.0032,1157
2025-01-05,0.0032,0.0035,0.0035,648
2025-01-06,0.0035,0.0035,0.0035,313
2025-01-07,0.0035,0.0032,0.0032,456
2025-01-08,0.0032,0.0035,0.0035,495
2025-01-09,0.0035,0.0036,0.0036,49
2025-01-10,0.0036,0.0034,0.0034,136
2025-01-11,0.0034,0.0034,0.0034,237
2025-01-12,0.0034,0.0033,0.0033,114
2025-01-13,0.0033,0.0032,0.0032,952
2025-01-14,0.0032,0.0032,0.0032,52
2025-01-15,0.0032,0.0031,0.0031,18
2025-01-16,0.0031,0.003,0.003,281
2025-01-17,0.003,0.003,0.003,25894
2025-01-18,0.003,0.0031,0.0031,988
2025-01-19,0.0031,0.0031,0.0031,776
2025-01-20,0.0031,0.0032,0.0032,385
2025-01-21,0.0032,0.0031,0.0031,798
2025-01-22,0.0031,0.0031,0.0031,0
2025-01-23,0.0031,0.0031,0.0031,400
2025-01-24,0.0031,0.003,0.003,153
2025-01-25,0.003,0.0032,0.0032,450
2025-01-26,0.0032,0.0029,0.0029,455
2025-01-27,0.0029,0.003,0.003,871
2025-01-28,0.003,0.003,0.003,0
2025-01-29,0.003,0.0029,0.0029,55
2025-01-30,0.0029,0.0029,0.0029,324
2025-01-31,0.0029,0.0031,0.0031,69
2025-02-01,0.0031,0.0029,0.0029,70
2025-02-02,0.0029,0.0029,0.0029,0
2025-02-03,0.0029,0.003,0.003,564
2025-02-04,0.003,0.0031,0.0031,274
2025-02-05,0.0031,0.0031,0.0031,0
2025-02-06,0.0031,0.0033,0.0033,99
2025-02-07,0.0033,0.0033,0.0033,20
2025-02-08,0.0033,0.0031,0.0031,377
