date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-04-17,462.8,464.16,464.16,7184600
2026-04-20,464.64,463.96,463.96,3935100
2026-04-21,466.29,464.66,464.66,5598600
2026-04-22,471.05,476.83,476.83,7835200
2026-04-23,480.4,481.85,481.85,10619700
2026-04-24,499.51,506.44,506.44,12614300
2026-04-27,509.19,506.26,506.26,9040200
2026-04-28,488.19,491.21,491.21,12664800
2026-04-29,496.35,499.58,499.58,6007900
2026-04-30,504.71,506.72,506.72,8401600
2026-05-01,504.21,509.82,509.82,5308300
2026-05-04,512.47,506.79,506.79,6867500
2026-05-05,515.38,522.69,522.69,8624600
2026-05-06,537.77,549.76,549.76,15262900
2026-05-07,545.77,540.1,540.1,10905200
2026-05-08,551.58,566.54,566.54,8553700
2026-05-11,570.26,576.31,576.31,12680900
2026-05-12,565.01,561.25,561.25,17720800
2026-05-13,571.8,572.46,572.46,9586700
2026-05-14,570.84,578.34,578.34,8458700
2026-05-15,560.31,556.34,556.34,13009600
2026-05-18,565.48,546.16,546.16,12317500
2026-05-19,534.94,543.96,543.96,11905800
2026-05-20,552.75,564.66,564.66,8892200
2026-05-21,561.02,567.88,567.88,8293800
2026-05-22,574.27,576.32,576.32,7535000
2026-05-26,591.58,602.14,602.14,10008500
2026-05-27,611.94,595.5,595.5,11209000
2026-05-28,595.81,599.83,599.83,7625000
2026-05-29,606.03,598.93,598.93,7596100
2026-06-01,596.1,607.81,607.81,8649000
2026-06-02,619.6,632.21,632.21,8083500
2026-06-03,640.8,637.9,637.9,10179900
2026-06-04,613.0,627.53,627.53,10462900
2026-06-05,605.09,569.69,569.69,22038000
2026-06-08,597.21,598.16,598.16,13823900
2026-06-09,609.48,591.01,591.01,20329700
2026-06-10,580.76,570.91,570.91,12711400
2026-06-11,582.61,609.45,609.45,12196800
2026-06-12,607.95,619.96,619.96,8963300
2026-06-15,643.5,647.1,647.1,9613900
2026-06-16,643.52,616.0,616.0,10949600
2026-06-17,633.46,623.97,623.97,10658800
2026-06-18,648.55,659.88,659.88,11229700
2026-06-22,670.35,668.91,668.91,8043000
2026-06-23,625.93,622.05,622.05,19126000
2026-06-24,622.28,618.92,618.92,11902000
2026-06-25,649.37,636.88,636.88,14877600
2026-06-26,616.79,611.61,611.61,12702300
2026-06-29,615.03,631.98,631.98,10473943
2026-06-30,636.065,655.89,655.89,9406890
2026-07-01,634.35,620.46,620.46,13424666
2026-07-02,622.58,592.29,592.29,21334058
2026-07-06,607.05,604.3,604.3,9820715
2026-07-07,580.02,581.45,581.45,14619227
2026-07-08,575.33,593.0,593.0,9521328
2026-07-09,615.48,607.73,607.73,9045101
2026-07-10,600.87,611.03,611.03,6608365
2026-07-13,598.005,585.62,585.62,8736478
2026-07-14,608.895,600.31,600.31,7581088
2026-07-15,606.88,590.77,590.77,11020779
2026-07-16,575.75,568.92,568.92,12353271
2026-07-17,547.935,556.53,556.53,22083883
2026-07-20,568.78,558.83,558.83,6962563
2026-07-21,580.96,584.08,584.08,7129768
2026-07-22,571.352,586.91,586.91,5249661
2026-07-23,577.2,580.17,580.17,7963219
2026-07-24,574.43,561.19,561.19,19156403
2026-07-27,565.94,548.55,548.55,38682157
2026-07-28,531.65,529.6,529.6,18429041
2026-07-29,525.99,504.22,504.22,19440901
2026-07-30,529.858,538.9,538.9,14175001
2026-07-31,557.5,540.53,540.53,14673890
2026-08-03,530.43,545.46,545.46,7283763
2026-08-04,564.292,575.71,575.71,9566210
2026-08-05,574.41,569.7,569.7,6209431
2026-08-06,565.475,571.48,571.48,6231651
2026-08-07,583.58,582.7,582.7,6505032
2026-08-10,585.99,569.41,569.41,6476713
2026-08-11,578.57,572.93,572.93,5028983
