date,open_price_usd,close_price_usd,adj_close_price_usd,total_volume_usd
2026-04-14,198.3219,198.8897,198.8897,10283900
2026-04-15,198.9595,198.9595,198.9595,8666800
2026-04-16,199.3281,199.866,199.866,9802500
2026-04-17,200.9119,202.3762,202.3762,10807200
2026-04-20,201.9081,203.0138,203.0138,6061800
2026-04-21,203.482,201.7686,201.7686,8702400
2026-04-22,202.9938,201.6789,201.6789,7198100
2026-04-23,201.659,201.669,201.669,10703900
2026-04-24,201.7985,201.2506,201.2506,8816800
2026-04-27,201.1908,201.0115,201.0115,6866800
2026-04-28,201.0115,199.9855,199.9855,6560200
2026-04-29,200.0154,199.6369,199.6369,8269200
2026-04-30,199.7663,202.6552,202.6552,9591200
2026-05-01,203.2229,202.0376,202.0376,13811300
2026-05-04,201.5893,200.8621,200.8621,9495200
2026-05-05,201.4996,202.4559,202.4559,6566000
2026-05-06,203.7908,204.0597,204.0597,10908200
2026-05-07,204.1693,202.7548,202.7548,10151400
2026-05-08,203.6613,203.3126,203.3126,8492500
2026-05-11,203.6712,203.203,203.203,7428700
2026-05-12,202.944,203.0237,203.0237,9576200
2026-05-13,202.8942,202.1372,202.1372,7388900
2026-05-14,202.6751,202.8743,202.8743,9841600
2026-05-15,201.8184,200.7824,200.7824,8957400
2026-05-18,201.1012,202.0176,202.0176,13792400
2026-05-19,201.2008,200.8422,200.8422,10548600
2026-05-20,201.2008,203.0437,203.0437,18985500
2026-05-21,202.1571,203.9203,203.9203,11504200
2026-05-22,204.9363,205.7831,205.7831,11148200
2026-05-26,207.0282,206.839,206.839,10318200
2026-05-27,207.2474,206.6895,206.6895,9745500
2026-05-28,206.58,207.4466,207.4466,6643900
2026-05-29,207.9447,208.0244,208.0244,8578100
2026-06-01,207.2474,208.4029,208.4029,8484900
2026-06-02,208.3033,209.2297,209.2297,8103000
2026-06-03,208.622,208.4427,208.4427,9765200
2026-06-04,209.2098,210.0166,210.0166,10142800
2026-06-05,209.0604,207.0282,207.0282,10969800
2026-06-08,207.8351,206.8091,206.8091,7771400
2026-06-09,207.8351,208.383,208.383,17170300
2026-06-10,207.7255,205.7332,205.7332,11015800
2026-06-11,206.5401,208.9408,208.9408,16751800
2026-06-12,209.8871,210.8335,210.8335,11412500
2026-06-15,212.776,212.0587,212.0587,7980500
2026-06-16,212.6664,211.3515,211.3515,6167000
2026-06-17,211.2917,208.1837,208.1837,11355500
2026-06-18,210.4051,209.15,209.15,10811900
2026-06-22,209.53,209.61,209.61,7256400
2026-06-23,208.34,208.89,208.89,10942600
2026-06-24,209.38,210.38,210.38,8243700
2026-06-25,211.89,211.75,211.75,13830900
2026-06-26,211.35,210.31,210.31,16742900
2026-06-29,213.015,213.05,213.05,11407984
2026-06-30,212.785,212.77,212.77,9001638
2026-07-01,212.58,213.41,213.41,12587523
2026-07-02,214.49,214.91,214.91,10684526
2026-07-06,215.04,215.0,215.0,6442370
2026-07-07,215.81,214.73,214.73,8044135
2026-07-08,213.54,212.2,212.2,13646802
2026-07-09,212.84,213.5,213.5,7278128
2026-07-10,214.15,214.3,214.3,5540433
2026-07-13,214.48,214.23,214.23,6899143
2026-07-14,214.14,213.45,213.45,9049633
2026-07-15,213.75,212.97,212.97,8412670
2026-07-16,213.075,215.06,215.06,7125034
2026-07-17,214.36,213.37,213.37,12176218
2026-07-20,213.87,212.42,212.42,6432982
2026-07-21,212.57,212.76,212.76,6363373
2026-07-22,213.03,212.7,212.7,4234970
2026-07-23,212.1,211.92,211.92,7189692
2026-07-24,212.37,213.57,213.57,7269080
2026-07-27,214.8,215.18,215.18,6002343
